song,title,artist,mbid,type,confidence,matched
中华你我他.txt,中华你我他,,,work,,
亲人子弟兵.txt,亲人子弟兵,,,work,,
人生咏叹调.txt,人生咏叹调,,,work,,
共进新朝代.txt,共进新朝代,,,work,,
天边的牧歌.txt,天边的牧歌,,,work,,
彝寨山茶红.txt,彝寨山茶红,,,work,,
情系苏宿园.txt,情系苏宿园,,,work,,
我是有钱人.txt,我是有钱人,,,work,,
我爱我们家.txt,我爱我们家,,,work,,
战位有我在.txt,战位有我在,,,work,,
把幸福托起.txt,把幸福托起,,,work,,
春日肆意游.txt,春日肆意游,,,work,,
月亮的歌声.txt,月亮的歌声,,,work,,
梦通新时代.txt,梦通新时代,,,work,,
正在想你哟.txt,正在想你哟,,,work,,
江城子桑农.txt,江城子桑农,,,work,,
火火中国白.txt,火火中国白,,,work,,
牙刷小卫士.txt,牙刷小卫士,,,work,,
美丽的哨卡.txt,美丽的哨卡,,,work,,
赣南有座城.txt,赣南有座城,,,work,,
远方的故乡.txt,远方的故乡,,,work,,
金色葵花海.txt,金色葵花海,,,work,,
雨中百合花.txt,雨中百合花,,,work,,
风华十五栽.txt,风华十五栽,,,work,,
风沙胡杨林.txt,风沙胡杨林,,,work,,
黑暗的沉思.txt,黑暗的沉思,,0d767be6-aa9c-4312-83ad-e8008ea53f82,recording,medium,"{""title"": ""黑暗的沉思"", ""artists"": [""齊秦""]}"
