song,status,info
AMANI(粤语),skip,
ASK,skip,
Angel,skip,
Auld lang syne 往日的时光（苏格兰、中英文）,skip,
Colorful Days,skip,
Come On,skip,
Flying To The Moon（英文儿童歌）,skip,
Happy Birthday,skip,
Here We are,skip,
Hey Hah,skip,
Hey!Lover,skip,
How Do You Do？（英文儿童歌）,skip,
I Like Chopin 我爱肖邦（意、英文歌）,skip,
Leave,skip,
Love Is Bule 蓝色的爱（美、中英文）,skip,
Make a Wish,skip,
Mr.Cool,ok,"images=1, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
My heart will go on（《铁达尼号》主题歌、英文歌）,skip,
New Boy,skip,
Piano,skip,
Show Up,skip,
Sing Sing Together（英文儿童歌）,skip,
Sophia,skip,
Super Star,skip,
Ten Little Babies（英文儿童歌）,skip,
The Basic Song（英文儿童歌）,skip,
The Moment,skip,
This is,skip,
Wake UP,skip,
Yesterday Once More 昨日重现（中英文）,skip,
