song,title,artist,mbid,type,confidence,matched
AMANI(粤语).txt,AMANI(粤语),Beyond,c337becf-89ff-4d67-b456-34283fe00a79,recording,medium,"{""title"": ""Amani（粤语）"", ""artists"": [""Beyond""]}"
ASK.txt,ASK,陈慧琳,d0eb33c8-e45e-3c33-9ebe-710056286b08,work,已有,
Angel.txt,Angel,陶喆,75023ccc-0e51-3746-8d31-04b9f7c45309,work,已有,
Auld lang syne 往日的时光（苏格兰、中英文）.txt,Auld lang syne 往日的时光（苏格兰、中英文）,,,work,,
Colorful Days.txt,Colorful Days,朴树,5b78cd43-0b06-426e-afdc-8eb96eb98bd2,work,已有,
Come On.txt,Come On,Energy,6b3bbd5a-0b4e-365e-bde1-d3eceaad9d5e,work,已有,
Flying To The Moon（英文儿童歌）.txt,Flying To The Moon（英文儿童歌）,,,work,,
Happy Birthday.txt,Happy Birthday,黄鹤翔,e17ccd51-0b15-4917-9a05-64406614f11c,work,已有,
Here We are.txt,Here We are,朱孝天,316fbe80-4f60-4df9-a712-2793d8afecbc,work,已有,
Hey Hah.txt,Hey Hah,可米小子,6f39fcea-b851-4446-a377-5bd4292cbca8,recording,medium,"{""title"": ""Hey! Hah!"", ""artists"": [""Comic Boyz""]}"
Hey!Lover.txt,Hey!Lover,何润东,01eae3fe-e774-3139-bc3d-a68d780d8074,work,已有,
How Do You Do？（英文儿童歌）.txt,How Do You Do？（英文儿童歌）,,,work,,
I Like Chopin 我爱肖邦（意、英文歌）.txt,I Like Chopin 我爱肖邦（意、英文歌）,,,work,,
Leave.txt,Leave,孙燕姿,243522d6-0870-49b9-9a2f-bfcb44c7188d,recording,high,"{""title"": ""Leave"", ""artists"": [""孫燕姿""]}"
Love Is Bule 蓝色的爱（美、中英文）.txt,Love Is Bule 蓝色的爱（美、中英文）,,,work,,
Make a Wish.txt,Make a Wish,周渝民,3e474240-c312-4f02-a749-c982504161e5,work,已有,
Mr.Cool.txt,Mr.Cool,古天乐,72a8f7ab-eaba-4d74-a47c-addffb499a8e,work,已有,
My heart will go on（《铁达尼号》主题歌、英文歌）.txt,My heart will go on（《铁达尼号》主题歌、英文歌）,,,work,,
New Boy.txt,New Boy,朴树,c5c1d8e9-59a5-4551-a41b-439f0fdcf95c,work,已有,
Piano.txt,Piano,范逸臣,446ca0fd-cd20-4562-939f-228346ab159e,work,已有,
Show Up.txt,Show Up,容祖儿,8dc17d98-92fe-46dc-b9ec-9228a41567a7,work,已有,
Sing Sing Together（英文儿童歌）.txt,Sing Sing Together（英文儿童歌）,,,work,,
Sophia.txt,Sophia,齐秦,ca6fbaff-ba96-4f6f-9f3e-d306f38df7da,work,已有,
Super Star.txt,Super Star,S.H.E,e3b9d1d8-1cfe-3709-a37a-3207fa645dbb,work,已有,
Ten Little Babies（英文儿童歌）.txt,Ten Little Babies（英文儿童歌）,,,work,,
The Basic Song（英文儿童歌）.txt,The Basic Song（英文儿童歌）,,,work,,
The Moment.txt,The Moment,孙燕姿,26bf8c38-e251-4683-a36f-da569e44048a,work,已有,
This is.txt,This is,林晓培,87b8ae28-c854-40bc-a78b-e62c22df940a,work,已有,
Wake UP.txt,Wake UP,林晓培,0c06b12a-a812-49b0-9ad9-a719854f96c0,work,已有,
Yesterday Once More 昨日重现（中英文）.txt,Yesterday Once More 昨日重现（中英文）,,,work,,
