song,status,info
上海人,skip,
中秋情,skip,
八角树,skip,
太湖水,skip,
学厨艺,skip,
学工歌,skip,
学电脑,skip,
宜昌队,skip,
寄明月,skip,
小上海,skip,
小重山,skip,
少年游,ok,"images=1, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
当兵乐,skip,
忘情酒,skip,
意难平,skip,
我的梦,skip,
推车歌,skip,
木叶情,skip,
歌友情,skip,
步步高,skip,
男儿泉,skip,
胭脂妆,skip,
舀河浜,skip,
苍穹唤,skip,
苕乡情,skip,
苕乡情,skip,
苹果香,skip,
菜园子,skip,
陆北大,skip,
青原赋,skip,
