song,title,artist,mbid,type,confidence,matched
中华你我他.txt,中华你我他,杨会林,,work,,
亲人子弟兵.txt,亲人子弟兵,乌延永安,,work,,
人生咏叹调.txt,人生咏叹调,蒋立德,,work,,
共进新朝代.txt,共进新朝代,郑振华-华鸣音乐,,work,,
天边的牧歌.txt,天边的牧歌,,,work,,
彝寨山茶红.txt,彝寨山茶红,蒋立德,,work,,
情系苏宿园.txt,情系苏宿园,,,work,,
我是有钱人.txt,我是有钱人,任贤齐,5cf62b94-faae-431a-88f0-60a3305fcd3b,recording,medium,"{""title"": ""我是有钱人"", ""artists"": [""任賢齊""]}"
我爱我们家.txt,我爱我们家,,,work,,
战位有我在.txt,战位有我在,,,work,,
把幸福托起.txt,把幸福托起,,,work,,
春日肆意游.txt,春日肆意游,少儿,,work,,
月亮的歌声.txt,月亮的歌声,,,work,,
梦通新时代.txt,梦通新时代,王丽达,,work,,
正在想你哟.txt,正在想你哟,田信国,,work,,
江城子桑农.txt,江城子桑农,桑农苏轼,,work,,
火火中国白.txt,火火中国白,,,work,,
牙刷小卫士.txt,牙刷小卫士,浅浅,,work,,
美丽的哨卡.txt,美丽的哨卡,杨会林,,work,,
赣南有座城.txt,赣南有座城,作词石顺义、作曲孟卫东、演唱曲丹,,work,,
远方的故乡.txt,远方的故乡,吐嘎,16ab322f-708d-42b2-b9e2-f8ca08a10ba1,work,已有,
金色葵花海.txt,金色葵花海,蒋立德,,work,,
雨中百合花.txt,雨中百合花,蒋立德,,work,,
风华十五栽.txt,风华十五栽,词曲：熊达明,,work,,
风沙胡杨林.txt,风沙胡杨林,蒋立德,,work,,
黑暗的沉思.txt,黑暗的沉思,齐秦,,work,,
