song,title,artist,mbid,type,confidence,matched
AMANI(粤语).txt,AMANI(粤语),,c337becf-89ff-4d67-b456-34283fe00a79,recording,medium,"{""title"": ""Amani（粤语）"", ""artists"": [""Beyond""]}"
ASK.txt,ASK,,09719cba-f661-45e5-a1a0-a0fdb0528434,recording,medium,"{""title"": ""Ask Ask"", ""artists"": [""Prince Far I""]}"
Angel.txt,Angel,,75023ccc-0e51-3746-8d31-04b9f7c45309,work,medium,"{""title"": ""Angel"", ""artists"": []}"
Auld lang syne 往日的时光（苏格兰、中英文）.txt,Auld lang syne 往日的时光（苏格兰、中英文）,,,work,,
Colorful Days.txt,Colorful Days,,5b78cd43-0b06-426e-afdc-8eb96eb98bd2,work,medium,"{""title"": ""Colorful Days"", ""artists"": []}"
Come On.txt,Come On,,6b3bbd5a-0b4e-365e-bde1-d3eceaad9d5e,work,medium,"{""title"": ""Come On"", ""artists"": []}"
Flying To The Moon（英文儿童歌）.txt,Flying To The Moon（英文儿童歌）,,,work,,
Happy Birthday.txt,Happy Birthday,,e17ccd51-0b15-4917-9a05-64406614f11c,recording,medium,"{""title"": ""Happy Birthday"", ""artists"": [""Ági és a fiúk""]}"
Here We are.txt,Here We are,,316fbe80-4f60-4df9-a712-2793d8afecbc,work,medium,"{""title"": ""Here We Are"", ""artists"": []}"
Hey Hah.txt,Hey Hah,,bc017ddb-3462-425f-899f-917742bcc2a1,recording,medium,"{""title"": ""Hey! Hah!"", ""artists"": [""Comic Boyz""]}"
Hey!Lover.txt,Hey!Lover,,01eae3fe-e774-3139-bc3d-a68d780d8074,work,medium,"{""title"": ""Hey Lover"", ""artists"": []}"
How Do You Do？（英文儿童歌）.txt,How Do You Do？（英文儿童歌）,,,work,,
I Like Chopin 我爱肖邦（意、英文歌）.txt,'1 Like Chopin 我爱肖邦（意、英文歌）,,,work,,
Leave.txt,Leave,,3353d2f4-bed3-4515-9418-15d8d36f1f29,work,medium,"{""title"": ""Leave"", ""artists"": []}"
Love Is Bule 蓝色的爱（美、中英文）.txt,Love Is Bule 蓝色的爱（美、中英文）,,,work,,
Make a Wish.txt,Make a Wish,,cdda8b3e-bebe-43df-94e8-ce1327ac6ebb,work,medium,"{""title"": ""Make a Wish"", ""artists"": []}"
Mr.Cool.txt,Mr.Cool,,72a8f7ab-eaba-4d74-a47c-addffb499a8e,work,medium,"{""title"": ""MR.COOL"", ""artists"": []}"
My heart will go on（《铁达尼号》主题歌、英文歌）.txt,My heart will go on（《铁达尼号》主题歌、英文歌）,,,work,,
New Boy.txt,New Boy,,c5c1d8e9-59a5-4551-a41b-439f0fdcf95c,work,medium,"{""title"": ""New Boy"", ""artists"": []}"
Piano.txt,Piano,,37f2c478-bb11-3544-89d9-9c50e974d36a,work,medium,"{""title"": ""Piano Man"", ""artists"": []}"
Show Up.txt,Show Up,,8dc17d98-92fe-46dc-b9ec-9228a41567a7,work,medium,"{""title"": ""Show Up!"", ""artists"": []}"
Sing Sing Together（英文儿童歌）.txt,Sing Sing Together（英文儿童歌）,,,work,,
Sophia.txt,Sophia,,ca6fbaff-ba96-4f6f-9f3e-d306f38df7da,work,medium,"{""title"": ""Sophia"", ""artists"": []}"
Super Star.txt,Super Star,,e3b9d1d8-1cfe-3709-a37a-3207fa645dbb,work,medium,"{""title"": ""Super Star"", ""artists"": []}"
Ten Little Babies（英文儿童歌）.txt,Ten Little Babies（英文儿童歌）,,,work,,
The Basic Song（英文儿童歌）.txt,The Basic Song（英文儿童歌）,,,work,,
The Moment.txt,The Moment,,26bf8c38-e251-4683-a36f-da569e44048a,work,medium,"{""title"": ""THE MOMENT"", ""artists"": []}"
This is.txt,This is,,87b8ae28-c854-40bc-a78b-e62c22df940a,work,medium,"{""title"": ""This Is It"", ""artists"": []}"
Wake UP.txt,Wake UP,,,work,,"[[""recording"", {""id"": ""6934bb58-8148-4cee-9bb7-1393d56baff8"", ""title"": ""Wake Up Wake Up Wake Up"", ""artists"": [""PAS/CAL""], ""score"": 100}], [""recording"", {""id"": ""3ebdd875-e997-48c0-83bb-d00c62bfc228"", ""title"": ""Wake Up Wake Up Wake Up"", ""artists"": [""Fiveskin""], ""score"": 100}], [""recording"", {""id"": ""6cb81fd8-c3b3-4482-8f2c-75f7c8df10e7"", ""title"": ""Wake Up Wake Up Wake Up!!!"", ""artists"": [""Shark Earrings""], ""score"": 100}]]"
Yesterday Once More 昨日重现（中英文）.txt,Yesterday Once More 昨日重现（中英文）,,,work,,
